Scientific Name,Longitude,Latitude
Abies squamata,101.0091591,32.20121758
Abies squamata,101.3335133,29.54993991
Abies squamata,98.8445455,29.5259588
Abies squamata,98.91677856,29.53433343
Abies squamata,101.8019772,30.89942609
Abies squamata,102.1887302,31.89548575
Abies squamata,100.294,31.242
Abies squamata,100.405426,28.81429582
Abies squamata,100.4462814,28.78616585
Abies squamata,99.14680481,30.00786853
Abies squamata,99.83705521,28.63817074
Abies squamata,99.854501,28.597069
Abies squamata,100.1546288,28.40801061
Abies squamata,100.5606079,29.02915595
Abies squamata,100.9939885,30.03974911
Abies squamata,101.0060692,30.04104939
Abies squamata,101.5334129,30.53579869
Abies squamata,102.3252869,31.65644997
Abies squamata,99.13513184,30.01054422
Abies squamata,99.29263115,29.3259923
Abies squamata,99.33262825,29.3193321
Abies squamata,100.7889175,28.34956126
Abies squamata,101.3080215,30.7803358
Abies squamata,101.9630814,30.00207096
Abies squamata,99.9612222,29.8021667
Abies squamata,99.97927666,29.77305711
Abies squamata,101.491188,30.635645
Abies squamata,99.20804501,28.72559296
Abies squamata,100.6087589,29.63800778
Abies squamata,101.3836169,30.04846061
Abies squamata,101.4727306,30.04636175
Abies squamata,100.245563,28.668725
Abies squamata,100.2710357,29.99332657
Abies squamata,100.273839,28.615577
Abies squamata,100.5662727,29.15500966
Abies squamata,98.58401299,29.09000195
Abies squamata,98.6916893,29.2844223
Abies squamata,98.84133339,31.20634146
Abies squamata,99.26911354,28.72559296
Abies squamata,99.2863333,28.7130413
Abies squamata,99.68247414,29.06704824
Abies squamata,99.738452,29.117376
Abies squamata,99.7743988,28.93605448
Abies squamata,100.4212189,30.05809995
Abies squamata,100.6292725,30.14572096
Abies squamata,100.8657575,30.01570958
Abies squamata,100.9279633,32.25708794
Abies squamata,101.0443497,31.00836414
Abies squamata,101.1121774,30.96677257
Abies squamata,101.434536,30.05995713
Abies squamata,101.4873648,29.30750731
Abies squamata,101.5072989,29.0003429
Abies squamata,99.30404663,29.21510706
Abies squamata,99.552146,29.127402
Abies squamata,101.4907551,32.57430241
Abies squamata,101.5324688,32.61067651
Abies squamata,101.274248,30.039593
Abies squamata,101.1666667,30.09444444
Abies squamata,102.255764,30.33858371
Abies squamata,102.282717,30.381124
Abies squamata,99.24207687,30.26737017
Abies squamata,98.57551575,29.71131406
Abies squamata,98.69018555,29.72622232
Abies squamata,99.28730965,30.34828727
Abies squamata,100.2363396,31.3049918
Abies squamata,100.7254028,32.93608125
Abies squamata,100.3113663,30.9391697
Abies squamata,100.6786251,30.81867306
Abies squamata,101.3825226,29.55315051
Abies squamata,101.413765,29.5370218
Abies squamata,100.2567673,28.10772048
Abies squamata,100.3837967,29.02915595
Abies squamata,101.5264606,30.00169931
Abies squamata,101.5345073,30.01760471
Abies squamata,100.5554581,29.16385413
Abies squamata,100.622406,29.11197571
Abies squamata,101.4884806,29.69737283
Abies squamata,101.723423,30.333261
Abies squamata,101.8624878,30.40663647
Abies squamata,101.946543,30.044392
Abies squamata,101.6079998,30.54740454
Abies faxoniana,101.7902832,29.50739969
Abies faxoniana,101.9853115,29.55867549
Abies faxoniana,102.2828865,29.83580449
Abies faxoniana,102.2474384,29.84287739
Abies faxoniana,102.0787811,29.84481305
Abies faxoniana,102.3046875,29.86744253
Abies faxoniana,102.2753334,29.87607611
Abies faxoniana,101.9089222,29.95828093
Abies faxoniana,101.9019699,29.97374719
Abies faxoniana,101.8911552,29.98772423
Abies faxoniana,101.9564295,29.98969424
Abies faxoniana,101.9644547,30.00013836
Abies faxoniana,101.9373322,30.00110466
Abies faxoniana,102.4643326,30.01946266
Abies faxoniana,101.7834806,30.06597417
Abies faxoniana,101.7963552,30.07017102
Abies faxoniana,101.9174194,30.07860132
Abies faxoniana,101.7973423,30.10548435
Abies faxoniana,101.9260025,30.1197769
Abies faxoniana,101.9135141,30.12378587
Abies faxoniana,101.8668652,30.14850425
Abies faxoniana,102.8134918,30.16739146
Abies faxoniana,102.8081703,30.38305663
Abies faxoniana,101.5747833,30.38768421
Abies faxoniana,102.6607132,30.41688841
Abies faxoniana,101.9903755,30.6117659
Abies faxoniana,102.0011902,30.72486719
Abies faxoniana,102.633,30.75
Abies faxoniana,102.7005816,30.81683027
Abies faxoniana,101.5300655,30.81690398
Abies faxoniana,102.968,30.855
Abies faxoniana,101.865921,30.87931788
Abies faxoniana,101.8313313,30.89504389
Abies faxoniana,101.7872143,30.90399221
Abies faxoniana,102.902112,30.93443966
Abies faxoniana,102.333355,30.96642298
Abies faxoniana,101.8260956,30.97400319
Abies faxoniana,102.3534393,30.9799639
